id_text,id_word,Text,Cosine_similarity
UntN TZ 1,UntN_TZ_1_00076,an-ka,0.3091
UntN TZ 1,UntN_TZ_1_00077,ru-ri-na,0.3069
UntN TZ 1,UntN_TZ_1_00078,a-ak,0.5694
UntN TZ 1,UntN_TZ_1_00079,mi-ši-ma-na,0.2804
UntN TZ 1,UntN_TZ_1_00080,ku-ur-ru,0.3058
UntN TZ 1,UntN_TZ_1_00081,ku-du-ni,0.2761
UntN TZ 1,UntN_TZ_1_00082,a-ak,0.5694
UntN TZ 1,UntN_TZ_1_00083,hi-iš,0.258
UntN TZ 1,UntN_TZ_1_00084,(m)un-taš-dingir-gal-me,0.2795
UntN TZ 1,UntN_TZ_1_00085,a-ha,0.3527
UntN TZ 1,UntN_TZ_1_00086,ta-aš2-ni,0.2496
UntN TZ 2,UntN_TZ_2_00001,u2,0.4736
UntN TZ 2,UntN_TZ_2_00002,(m)un-taš-dingir-gal,0.333
UntN TZ 2,UntN_TZ_2_00003,ša-ak,0.292
UntN TZ 2,UntN_TZ_2_00004,(md)hu-ban-nu-me-na-gi,0.3514
UntN TZ 2,UntN_TZ_2_00005,su-un-ki-ik,0.4428
UntN TZ 2,UntN_TZ_2_00006,an-za-an,0.4171
UntN TZ 2,UntN_TZ_2_00007,šu-šu-un-ka,0.4929
UntN TZ 2,UntN_TZ_2_00008,u2-pa-at,0.5415
UntN TZ 2,UntN_TZ_2_00009,la-an-si-ti-ip-pa,0.3226
UntN TZ 2,UntN_TZ_2_00010,te-pu-uh,0.2557
UntN TZ 2,UntN_TZ_2_00011,ul-hi,0.3341
UntN TZ 2,UntN_TZ_2_00012,i,0.3395
UntN TZ 2,UntN_TZ_2_00013,a-ha-a,0.3168
UntN TZ 2,UntN_TZ_2_00014,ku-ši-ih,0.5528
UntN TZ 2,UntN_TZ_2_00015,dingir-gal,0.5109
UntN TZ 2,UntN_TZ_2_00016,a-ak,0.5694
UntN TZ 2,UntN_TZ_2_00017,(d)in-šu-uš-na-ak,0.5347
UntN TZ 2,UntN_TZ_2_00018,si-ia-an-ku-uk-pa,0.3989
UntN TZ 2,UntN_TZ_2_00019,a-pu,0.3158
UntN TZ 2,UntN_TZ_2_00020,u2,0.4736
UntN TZ 2,UntN_TZ_2_00021,du-ni-ih,0.4579
UntN TZ 2,UntN_TZ_2_00022,hu-ut-tak-ha-li-ik,0.4346
UntN TZ 2,UntN_TZ_2_00023,u2-me,0.5898
UntN TZ 2,UntN_TZ_2_00024,dingir-gal,0.5109
UntN TZ 2,UntN_TZ_2_00025,(d)in-šu-uš-na-ak,0.5347
UntN TZ 2,UntN_TZ_2_00026,si-ia-an-ku-uk-pa,0.3989
UntN TZ 2,UntN_TZ_2_00027,li-na,0.3652
UntN TZ 2,UntN_TZ_2_00028,te-la-ak-ni,0.3094
UntN TZ 2,UntN_TZ_2_00029,si-ia-an,0.4844
UntN TZ 2,UntN_TZ_2_00030,ap-pa,0.3538
UntN TZ 2,UntN_TZ_2_00031,ku-ši-ih-ma,0.2767
UntN TZ 2,UntN_TZ_2_00032,pi-el,0.3435
UntN TZ 2,UntN_TZ_2_00033,ki-it-ti-im-ma,0.4202
UntN TZ 2,UntN_TZ_2_00034,na-a,0.3053
UntN TZ 2,UntN_TZ_2_00035,me-lu-uk-ra,0.3607
UntN TZ 2,UntN_TZ_2_00036,dingir-gal,0.5109
UntN TZ 2,UntN_TZ_2_00037,a-ak,0.5694
UntN TZ 2,UntN_TZ_2_00038,(d)in-šu-uš-na-ak,0.5347
UntN TZ 2,UntN_TZ_2_00039,si-ia-an-ku-uk-pa,0.3989
UntN TZ 2,UntN_TZ_2_00040,gi-ri-na,0.3488
UntN TZ 2,UntN_TZ_2_00041,hi-ih-li,0.2918
UntN TZ 3,UntN_TZ_3_00001,u2,0.4736
UntN TZ 3,UntN_TZ_3_00002,(m)un-taš-dingir-gal,0.333
UntN TZ 3,UntN_TZ_3_00003,ša-ak,0.292
UntN TZ 3,UntN_TZ_3_00004,(md)hu-ban-nu-me-na-gi,0.3514
UntN TZ 3,UntN_TZ_3_00005,su-un-ki-ik,0.4428
UntN TZ 3,UntN_TZ_3_00006,an-za-an,0.4171
UntN TZ 3,UntN_TZ_3_00007,šu-šu-un-ka,0.4929
UntN TZ 3,UntN_TZ_3_00008,ul-hi,0.3341
UntN TZ 3,UntN_TZ_3_00009,i,0.3395
UntN TZ 3,UntN_TZ_3_00010,la-ni-ia,0.2427
UntN TZ 3,UntN_TZ_3_00011,ku-ši-ih,0.5528
UntN TZ 3,UntN_TZ_3_00012,dingir-gal,0.5109
UntN TZ 3,UntN_TZ_3_00013,a-ak,0.5694
UntN TZ 3,UntN_TZ_3_00014,(d)in-šu-uš-na-ak,0.5347
UntN TZ 3,UntN_TZ_3_00015,si-ia-an-ku-uk-pa,0.3989
UntN TZ 3,UntN_TZ_3_00016,a-pu,0.3158
UntN TZ 3,UntN_TZ_3_00017,u2,0.4736
UntN TZ 3,UntN_TZ_3_00018,du-ni-ih,0.4579
UntN TZ 3,UntN_TZ_3_00019,hu-ut-tak-ha-li-ik,0.4346
UntN TZ 3,UntN_TZ_3_00020,u2-me,0.5898
UntN TZ 3,UntN_TZ_3_00021,dingir-gal,0.5109
UntN TZ 3,UntN_TZ_3_00022,(d)in-šu-uš-na-ak,0.5347
UntN TZ 3,UntN_TZ_3_00023,ul-li-na,0.3769
UntN TZ 3,UntN_TZ_3_00024,te-la-ak-ni,0.3094
UntN TZ 3,UntN_TZ_3_00025,si-ia-an,0.4844
UntN TZ 3,UntN_TZ_3_00026,ku-ši-ih-ma,0.2767
UntN TZ 3,UntN_TZ_3_00027,pi-el,0.3435
UntN TZ 3,UntN_TZ_3_00028,ki-it-ti-im-ma,0.4202
UntN TZ 3,UntN_TZ_3_00029,na-a,0.3053
UntN TZ 3,UntN_TZ_3_00030,me-lu-uk-ra,0.3607
UntN TZ 3,UntN_TZ_3_00031,dingir-gal,0.5109
UntN TZ 3,UntN_TZ_3_00032,a-ak,0.5694
UntN TZ 3,UntN_TZ_3_00033,(d)in-šu-uš-na-ak,0.5347
UntN TZ 3,UntN_TZ_3_00034,si-ia-an-ku-uk-pa,0.3989
UntN TZ 3,UntN_TZ_3_00035,gi-ri-na,0.3488
UntN TZ 3,UntN_TZ_3_00036,hi-ih-li,0.2918
UntN TZ 3,UntN_TZ_3_00037,ak-ka,0.4228
UntN TZ 3,UntN_TZ_3_00038,ul-hi,0.3341
UntN TZ 3,UntN_TZ_3_00039,i,0.3395
UntN TZ 3,UntN_TZ_3_00040,me-el-ka-an-ra,0.2916
UntN TZ 3,UntN_TZ_3_00041,a-ak,0.5694
UntN TZ 3,UntN_TZ_3_00042,u2-pa-ti-pi,0.3059
UntN TZ 3,UntN_TZ_3_00043,la-ni-e,0.287
UntN TZ 3,UntN_TZ_3_00044,pa-ka-an-ra,0.2794
UntN TZ 3,UntN_TZ_3_00045,ha-at,0.2984
UntN TZ 3,UntN_TZ_3_00046,dingir-gal,0.5109
UntN TZ 3,UntN_TZ_3_00047,a-ak,0.5694
UntN TZ 3,UntN_TZ_3_00048,(d)in-šu-uš-na-ak,0.5347
UntN TZ 3,UntN_TZ_3_00049,si-ia-an-ku-uk-pa-ri,0.2449
UntN TZ 3,UntN_TZ_3_00050,uk-ku-ri,0.2768
UntN TZ 3,UntN_TZ_3_00051,ir,0.383
UntN TZ 3,UntN_TZ_3_00052,ta-ak-ni,0.3475
UntN TZ 3,UntN_TZ_3_00053,(d)na-ah-hu-un-te-ir,0.3049
UntN TZ 3,UntN_TZ_3_00054,ša-ra-ra,0.3309
UntN TZ 3,UntN_TZ_3_00055,pa-ar,0.291
UntN TZ 3,UntN_TZ_3_00056,a-ni,0.3087
UntN TZ 3,UntN_TZ_3_00057,ku-tu4-un,0.3181
UntN TZ 4,UntN_TZ_4_00001,u2,0.4736
UntN TZ 4,UntN_TZ_4_00002,(m)un-taš-dingir-gal,0.333
UntN TZ 4,UntN_TZ_4_00003,ša-ak,0.292
UntN TZ 4,UntN_TZ_4_00004,(d)hu-ban-um-me-en-na-ki,0.2983
UntN TZ 4,UntN_TZ_4_00005,su-un-ki-ik,0.4428
UntN TZ 4,UntN_TZ_4_00006,an-za-an,0.4171
UntN TZ 4,UntN_TZ_4_00007,šu-šu-un-ka,0.4929
UntN TZ 4,UntN_TZ_4_00008,ta-ak-me,0.4232
UntN TZ 4,UntN_TZ_4_00009,u2-me,0.5898
UntN TZ 4,UntN_TZ_4_00010,tu4-ur,0.5381
UntN TZ 4,UntN_TZ_4_00011,hi-ih,0.4515
UntN TZ 4,UntN_TZ_4_00012,si-it-me,0.4945
UntN TZ 4,UntN_TZ_4_00013,u2-me,0.5898
UntN TZ 4,UntN_TZ_4_00014,šu-ul-lu-me-en-ga,0.2595
UntN TZ 4,UntN_TZ_4_00015,az-ki-it,0.4502
UntN TZ 4,UntN_TZ_4_00016,tu4-ur,0.5381
UntN TZ 4,UntN_TZ_4_00017,sah-ri,0.4262
UntN TZ 4,UntN_TZ_4_00018,hu-šu-ia,0.3785
UntN TZ 4,UntN_TZ_4_00019,in-gi,0.4831
UntN TZ 4,UntN_TZ_4_00020,hi-en-ga,0.4485
UntN TZ 4,UntN_TZ_4_00021,in-di-ig-ga,0.3368
UntN TZ 4,UntN_TZ_4_00022,a-gi,0.5235
UntN TZ 4,UntN_TZ_4_00023,si-ia-an,0.4844
UntN TZ 4,UntN_TZ_4_00024,u2-pa-at,0.5415
UntN TZ 4,UntN_TZ_4_00025,hu-us-si-ip-me,0.5148
UntN TZ 4,UntN_TZ_4_00026,ku-ši-ih,0.5528
UntN TZ 4,UntN_TZ_4_00027,(d)in-šu-uš-na-ak,0.5347
UntN TZ 4,UntN_TZ_4_00028,si-ia-an-ku-uk-ra,0.5192
UntN TZ 4,UntN_TZ_4_00029,in,0.5704
UntN TZ 4,UntN_TZ_4_00030,tu4-ni-ih,0.3922
UntN TZ 4,UntN_TZ_4_00031,hu-ut-tak-ha-li-ik,0.4346
UntN TZ 4,UntN_TZ_4_00032,u2-me,0.5898
UntN TZ 4,UntN_TZ_4_00033,(d)in-šu-uš-na-ak,0.5347
UntN TZ 4,UntN_TZ_4_00034,ul-li-na,0.3769
UntN TZ 4,UntN_TZ_4_00035,te-la-ak,0.2463
UntN TZ 5,UntN_TZ_5_00001,u2,0.4736
UntN TZ 5,UntN_TZ_5_00002,un-taš-dingir-gal,0.2769
UntN TZ 5,UntN_TZ_5_00003,ša-ak,0.292
UntN TZ 5,UntN_TZ_5_00004,(d)hu-ban-nu-me-na-gi,0.281
UntN TZ 5,UntN_TZ_5_00005,zu-un-ki-ik,0.3275
UntN TZ 5,UntN_TZ_5_00006,an-za-an,0.4171
UntN TZ 5,UntN_TZ_5_00007,šu-šu-un-ka,0.4929
UntN TZ 5,UntN_TZ_5_00008,ma-šu-um,0.2975
UntN TZ 5,UntN_TZ_5_00009,pi-it-te-ka,0.2789
UntN TZ 5,UntN_TZ_5_00010,si-ia-an-ku-uk,0.401
UntN TZ 5,UntN_TZ_5_00011,a-ha-an,0.3077
UntN TZ 5,UntN_TZ_5_00012,ku-ši-ih,0.5528
UntN TZ 5,UntN_TZ_5_00013,pi-el,0.3435
UntN TZ 5,UntN_TZ_5_00014,ki-it-ti-im-ma,0.4202
UntN TZ 5,UntN_TZ_5_00015,na-a,0.3053
UntN TZ 5,UntN_TZ_5_00016,me-lu-uk-ra,0.3607
UntN TZ 5,UntN_TZ_5_00017,zu-un-ki-me,0.3574
UntN TZ 5,UntN_TZ_5_00018,tu4-ur,0.5381
UntN TZ 5,UntN_TZ_5_00019,hi-ih,0.4515
UntN TZ 5,UntN_TZ_5_00020,zi-it-me,0.3089
UntN TZ 5,UntN_TZ_5_00021,hi-en-ka,0.5103
UntN TZ 5,UntN_TZ_5_00022,in-ti-ik-ka,0.3971
UntN TZ 5,UntN_TZ_5_00023,a-gi,0.5235
UntN TZ 5,UntN_TZ_5_00024,šu-un-šu-ir-pi,0.2378
UntN TZ 5,UntN_TZ_5_00025,ku-ši-ih,0.5528
UntN TZ 5,UntN_TZ_5_00026,dingir-gal,0.5109
UntN TZ 5,UntN_TZ_5_00027,a-ak,0.5694
UntN TZ 5,UntN_TZ_5_00028,(d)in-šu-ši-na-ak,0.4237
UntN TZ 5,UntN_TZ_5_00029,si-ia-an-ku-uk-pa,0.3989
UntN TZ 5,UntN_TZ_5_00030,du-ni-ih,0.4579
UntN TZ 5,UntN_TZ_5_00031,hu-ut-tak-ha-li-ik,0.4346
UntN TZ 5,UntN_TZ_5_00032,u2-me,0.5898
UntN TZ 5,UntN_TZ_5_00033,dingir-gal,0.5109
UntN TZ 5,UntN_TZ_5_00034,a-ak,0.5694
UntN TZ 5,UntN_TZ_5_00035,(d)in-šu-ši-na-ak,0.4237
UntN TZ 5,UntN_TZ_5_00036,si-ia-an-ku-uk-pa,0.3989
UntN TZ 5,UntN_TZ_5_00037,li-na,0.3652
UntN TZ 5,UntN_TZ_5_00038,te-la-ak-ni,0.3094
UntN TZ 6,UntN_TZ_6_00001,u3,0.2484
UntN TZ 6,UntN_TZ_6_00002,(m)un-taš-dingir-gal,0.333
UntN TZ 6,UntN_TZ_6_00003,ša-ak,0.292
UntN TZ 6,UntN_TZ_6_00004,(d)hu-ba-nu-me-en-na-ki,0.2704
UntN TZ 6,UntN_TZ_6_00005,su-un-ki-ik,0.4428
UntN TZ 6,UntN_TZ_6_00006,an-za-an,0.4171
UntN TZ 6,UntN_TZ_6_00007,šu-šu-un-ka,0.4929
UntN TZ 6,UntN_TZ_6_00008,ta-ak-me,0.4232
UntN TZ 6,UntN_TZ_6_00009,u2-me,0.5898
UntN TZ 6,UntN_TZ_6_00010,tu4-ur,0.5381
UntN TZ 6,UntN_TZ_6_00011,hi-ih,0.4515
UntN TZ 6,UntN_TZ_6_00012,si-it-me,0.4945
UntN TZ 6,UntN_TZ_6_00013,u2-me,0.5898
UntN TZ 6,UntN_TZ_6_00014,šu-lu-me-ka,0.2906
UntN TZ 6,UntN_TZ_6_00015,az-ki-it,0.4502
UntN TZ 6,UntN_TZ_6_00016,tu4-ur,0.5381
UntN TZ 6,UntN_TZ_6_00017,sah-ri,0.4262
UntN TZ 6,UntN_TZ_6_00018,hu-šu-a,0.2635
UntN TZ 6,UntN_TZ_6_00019,in-gi,0.4831
UntN TZ 6,UntN_TZ_6_00020,hi-en-ka,0.5103
UntN TZ 6,UntN_TZ_6_00021,in-di-ik-ka,0.3286
UntN TZ 6,UntN_TZ_6_00022,a-gi,0.5235
UntN TZ 6,UntN_TZ_6_00023,si-a-an,0.3435
UntN TZ 6,UntN_TZ_6_00024,u2-pa-at,0.5415
UntN TZ 6,UntN_TZ_6_00025,hu-us-si-ip-me,0.5148
UntN TZ 6,UntN_TZ_6_00026,ku-ši-ih,0.5528
UntN TZ 6,UntN_TZ_6_00027,(d)ki-ri-ri-ša,0.4109
UntN TZ 6,UntN_TZ_6_00028,si-a-an-ku-uk-ra,0.4444
UntN TZ 6,UntN_TZ_6_00029,in,0.5704
UntN TZ 6,UntN_TZ_6_00030,tu4-ni-ih,0.3922
UntN TZ 6,UntN_TZ_6_00031,hu-ut-tak-ha-li-ik,0.4346
UntN TZ 6,UntN_TZ_6_00032,u2-me,0.5898
UntN TZ 6,UntN_TZ_6_00033,(d)ki-ri-ri-ša,0.4109
UntN TZ 6,UntN_TZ_6_00034,li-na,0.3652
UntN TZ 6,UntN_TZ_6_00035,te-la-ak-ni,0.3094
UntN TZ 7,UntN_TZ_7_00001,u3,0.2484
UntN TZ 7,UntN_TZ_7_00002,(m)un-taš-dingir-gal,0.333
UntN TZ 7,UntN_TZ_7_00003,ša-ak,0.292
UntN TZ 7,UntN_TZ_7_00004,(d)hu-um-ban-nu-me-na-gi,0.3156
UntN TZ 7,UntN_TZ_7_00005,su-un-ki-ik,0.4428
UntN TZ 7,UntN_TZ_7_00006,an-za-an,0.4171
UntN TZ 7,UntN_TZ_7_00007,šu-šu-un-ka,0.4929
UntN TZ 7,UntN_TZ_7_00008,si-ia-an,0.4844
UntN TZ 7,UntN_TZ_7_00009,u2-pa-at,0.5415
UntN TZ 7,UntN_TZ_7_00010,hu-us-si-ip-me,0.5148
UntN TZ 7,UntN_TZ_7_00011,ku-ši-ih,0.5528
UntN TZ 7,UntN_TZ_7_00012,(d)iš-ni-ka-ra-ab2,0.2909
UntN TZ 7,UntN_TZ_7_00013,si-ia-an-ku-uk-ra,0.5192
UntN TZ 7,UntN_TZ_7_00014,in,0.5704
UntN TZ 7,UntN_TZ_7_00015,du-ni-ih,0.4579
UntN TZ 8,UntN_TZ_8_00001,u3,0.2484
UntN TZ 8,UntN_TZ_8_00002,(m)un-taš-dingir-gal,0.333
UntN TZ 8,UntN_TZ_8_00003,ša-ak,0.292
UntN TZ 8,UntN_TZ_8_00004,(d)hu-ban-nu-me-en-na-ki,0.3028
UntN TZ 8,UntN_TZ_8_00005,su-un-ki-ik,0.4428
UntN TZ 8,UntN_TZ_8_00006,an-za-an,0.4171
UntN TZ 8,UntN_TZ_8_00007,šu-šu-un-ka,0.4929
UntN TZ 8,UntN_TZ_8_00008,ta-ak-me,0.4232
UntN TZ 8,UntN_TZ_8_00009,u2-me,0.5898
UntN TZ 8,UntN_TZ_8_00010,tu4-ur,0.5381
UntN TZ 8,UntN_TZ_8_00011,hi-ih,0.4515
UntN TZ 8,UntN_TZ_8_00012,si-it-me,0.4945
UntN TZ 8,UntN_TZ_8_00013,u2-me,0.5898
UntN TZ 8,UntN_TZ_8_00014,šu-ul-lu-me-ka,0.279
UntN TZ 8,UntN_TZ_8_00015,az-ki-it,0.4502
UntN TZ 8,UntN_TZ_8_00016,tu4-ur,0.5381
UntN TZ 8,UntN_TZ_8_00017,sah-ri,0.4262
UntN TZ 8,UntN_TZ_8_00018,hu-šu-ia,0.3785
UntN TZ 8,UntN_TZ_8_00019,in-gi,0.4831
UntN TZ 8,UntN_TZ_8_00020,hi-en-ka,0.5103
UntN TZ 8,UntN_TZ_8_00021,in-di-ik-ka,0.3286
UntN TZ 8,UntN_TZ_8_00022,a-gi,0.5235
UntN TZ 8,UntN_TZ_8_00023,si-ia-an,0.4844
UntN TZ 8,UntN_TZ_8_00024,ta-li-in,0.3483
UntN TZ 8,UntN_TZ_8_00025,ku-ši-ih,0.5528
UntN TZ 8,UntN_TZ_8_00026,dingir-gal,0.5109
UntN TZ 8,UntN_TZ_8_00027,si-ia-an-ku-uk-ra,0.5192
UntN TZ 8,UntN_TZ_8_00028,in,0.5704
UntN TZ 8,UntN_TZ_8_00029,du-ni-ih,0.4579
UntN TZ 8,UntN_TZ_8_00030,1,0.2229
UntN TZ 8,UntN_TZ_8_00031,šu-uh-tir,0.2502
UntN TZ 8,UntN_TZ_8_00032,ir,0.383
UntN TZ 8,UntN_TZ_8_00033,ta-ah,0.27
UntN TZ 8,UntN_TZ_8_00034,hu-ut-tak-ha-li-ik,0.4346
UntN TZ 8,UntN_TZ_8_00035,u2-me,0.5898
UntN TZ 8,UntN_TZ_8_00036,dingir-gal,0.5109
UntN TZ 8,UntN_TZ_8_00037,ul-li-na,0.3769
UntN TZ 8,UntN_TZ_8_00038,te-la-ak-ni,0.3094
UntN TZ 9,UntN_TZ_9_00001,missing,0.2789
UntN TZ 10,UntN_TZ_10_00001,u2,0.4736
UntN TZ 10,UntN_TZ_10_00002,(m)un-taš-dingir-gal,0.333
UntN TZ 10,UntN_TZ_10_00003,ša-ak,0.292
UntN TZ 10,UntN_TZ_10_00004,(md)hu-um-ban-nu-me-na-gi,0.2534
UntN TZ 10,UntN_TZ_10_00005,su-un-ki-ik,0.4428
UntN TZ 10,UntN_TZ_10_00006,an-za-an,0.4171
UntN TZ 10,UntN_TZ_10_00007,šu-šu-un-ka,0.4929
UntN TZ 10,UntN_TZ_10_00008,si-ia-an,0.4844
UntN TZ 10,UntN_TZ_10_00009,a-lu-mi-im-ma,0.2809
UntN TZ 10,UntN_TZ_10_00010,u2-pa-at,0.5415
UntN TZ 10,UntN_TZ_10_00011,hu-us-si-ip-me,0.5148
UntN TZ 10,UntN_TZ_10_00012,ku-ši-ih,0.5528
UntN TZ 10,UntN_TZ_10_00013,(d)pi-ni-gir3,0.2507
UntN TZ 10,UntN_TZ_10_00014,in,0.5704
UntN TZ 10,UntN_TZ_10_00015,du-ni-ih,0.4579
UntN TZ 11,UntN_TZ_11_00001,u2,0.4736
UntN TZ 11,UntN_TZ_11_00002,(m)un-taš-dingir-gal,0.333
UntN TZ 11,UntN_TZ_11_00003,ša-ak,0.292
UntN TZ 11,UntN_TZ_11_00004,(md)hu-um-ban-nu-me-na-gi,0.2534
UntN TZ 11,UntN_TZ_11_00005,zu-un-ki-ik,0.3275
UntN TZ 11,UntN_TZ_11_00006,an-za-an,0.4171
UntN TZ 11,UntN_TZ_11_00007,šu-šu-un-ka,0.4929
UntN TZ 11,UntN_TZ_11_00008,si-ia-an,0.4844
UntN TZ 11,UntN_TZ_11_00009,si-li-in,0.2554
UntN TZ 11,UntN_TZ_11_00010,u2-pa-at,0.5415
UntN TZ 11,UntN_TZ_11_00011,hu-us-si-ip-me,0.5148
UntN TZ 11,UntN_TZ_11_00012,ku-ši-ih,0.5528
UntN TZ 11,UntN_TZ_11_00013,(d)im,0.3
UntN TZ 11,UntN_TZ_11_00014,a-ak,0.5694
UntN TZ 11,UntN_TZ_11_00015,(d)ša-la,0.2773
UntN TZ 11,UntN_TZ_11_00016,in,0.5704
UntN TZ 11,UntN_TZ_11_00017,du-ni-ih,0.4579
UntN TZ 12,UntN_TZ_12_00001,u2,0.4736
UntN TZ 12,UntN_TZ_12_00002,(m)un-taš-dingir-gal,0.333
UntN TZ 12,UntN_TZ_12_00003,ša-ak,0.292
UntN TZ 12,UntN_TZ_12_00004,(md)hu-um-ban-nu-me-na-gi,0.2534
UntN TZ 12,UntN_TZ_12_00005,su-un-ki-ik,0.4428
UntN TZ 12,UntN_TZ_12_00006,an-za-an,0.4171
UntN TZ 12,UntN_TZ_12_00007,šu-šu-un-ka,0.4929
UntN TZ 12,UntN_TZ_12_00008,si-ia-an,0.4844
UntN TZ 12,UntN_TZ_12_00009,ki-ni-in,0.2591
UntN TZ 12,UntN_TZ_12_00010,u2-pa-at,0.5415
