id,label,determinative,suffix,contains_divine,is_fragmentary,syllable_count
ku-ši-ih-ma,ku-ši-ih-ma,,,False,False,4
ul-hi,ul-hi,,,False,False,2
(d)pi-ni-gir3,(d)pi-ni-gir3,divine,,True,False,3
gi-ri-na,gi-ri-na,,na,False,False,3
(d)na-ah-hu-un-te,(d)na-ah-hu-un-te,divine,,True,False,5
du-ni-iš-ni,du-ni-iš-ni,,ni,False,False,4
la-an-si-ti-ir-ra,la-an-si-ti-ir-ra,,ra,False,False,6
si-ia-an-i-me,si-ia-an-i-me,,me,False,False,5
ur,ur,,,False,False,1
ku-la-a,ku-la-a,,,False,False,3
(d)u2-pur-ku-pa-ak,(d)u2-pur-ku-pa-ak,divine,ak,True,False,5
(md)hu-ban-nu-me-na-gi,(md)hu-ban-nu-me-na-gi,divine-personal,,True,False,6
ku-tu4-un,ku-tu4-un,,,False,False,3
pa-ar,pa-ar,,,False,False,2
ša-ra-ra,ša-ra-ra,,ra,False,False,3
ta-ak-ni,ta-ak-ni,,ni,False,False,3
hi-iš,hi-iš,,,False,False,2
si-a-an-ku-uk,si-a-an-ku-uk,,,False,False,5
hu-uh-tah,hu-uh-tah,,,False,False,3
um-me,um-me,,me,False,False,2
mu-ši-a,mu-ši-a,,,False,False,3
hu-ut-ta-ak-ha-li-ik,hu-ut-ta-ak-ha-li-ik,,ik,False,False,7
te-la-ak,te-la-ak,,ak,False,False,3
a-bu-ul,a-bu-ul,,,False,False,3
ha-al,ha-al,,,False,False,2
li-na-pu-un,li-na-pu-un,,,False,False,4
hu-hu-un,hu-hu-un,,,False,False,3
un-taš-dingir-gal,un-taš-dingir-gal,,,True,False,4
(d)ki-la-ah-šu-pi-ir,(d)ki-la-ah-šu-pi-ir,divine,ir,True,False,6
ku-ši-ih-ša,ku-ši-ih-ša,,,False,False,4
pi-it-te-ka,pi-it-te-ka,,ka,False,False,4
(d)ru-hu-ra-te-ir,(d)ru-hu-ra-te-ir,divine,ir,True,False,5
(d)hi-iš-mi-ti-ik,(d)hi-iš-mi-ti-ik,divine,ik,True,False,5
(d)na-ap-ra-te-ip,(d)na-ap-ra-te-ip,divine,ip,True,False,5
(d)nin-a-li,(d)nin-a-li,divine,,True,False,3
(d)ša-la,(d)ša-la,divine,,True,False,2
(d)na-ah-hu-un-te-ir,(d)na-ah-hu-un-te-ir,divine,ir,True,False,6
si-ia-an-ku-uk-pa-ri,si-ia-an-ku-uk-pa-ri,,,False,False,7
ha-at,ha-at,,,False,False,2
hi-ih-li,hi-ih-li,,,False,False,3
a-pu,a-pu,,,False,False,2
(d)be-la-la,(d)be-la-la,divine,,True,False,3
ta-ah,ta-ah,,,False,False,2
(md)hu-um-ban-nu-me-en-na-ki,(md)hu-um-ban-nu-me-en-na-ki,divine-personal,,True,False,8
(d)u2-pur-ku-ba-ak,(d)u2-pur-ku-ba-ak,divine,ak,True,False,5
me-el-ka-an-ra,me-el-ka-an-ra,,ra,False,False,5
nu-ur,nu-ur,,,False,False,2
a-ak],a-ak],,,False,True,2
[…]-ti-ia,[…]-ti-ia,,,False,True,3
(d)na-bu-u2,(d)na-bu-u2,divine,,True,False,3
na,na,,,False,False,1
ni,ni,,,False,False,1
(d)na-ap-ra-te-ip-me,(d)na-ap-ra-te-ip-me,divine,me,True,False,6
si-a-ku-uk,si-a-ku-uk,,,False,False,4
la-am-li-e-ma,la-am-li-e-ma,,,False,False,5
hu-uh-tah-ša,hu-uh-tah-ša,,,False,False,4
[a-ak,[a-ak,,ak,False,True,2
[u2,[u2,,,False,True,1
(d)ši-ia-šu-um,(d)ši-ia-šu-um,divine,,True,False,4
(d)ma-an-za-at,(d)ma-an-za-at,divine,,True,False,4
tu4-[ur],tu4-[ur],,,False,True,2
(d)nin-e2-gal,(d)nin-e2-gal,divine,,True,False,3
pi-ip-ši-ia,pi-ip-ši-ia,,,False,False,4
be-el-ti,be-el-ti,,,False,False,3
(d)in-na-na,(d)in-na-na,divine,na,True,False,3
(d)na-bi-um,(d)na-bi-um,divine,,True,False,3
(m)hu-ban-nu-me-na-ki,(m)hu-ban-nu-me-na-ki,personal-male,,False,False,6
(d)hu-um-ban,(d)hu-um-ban,divine,,True,False,3
(d)ru-hu-ra-tir,(d)ru-hu-ra-tir,divine,,True,False,4
(d)hi-iš-mi-di-ik,(d)hi-iš-mi-di-ik,divine,ik,True,False,5
lu-pi-en,lu-pi-en,,,False,False,3
dingir-gal-me,dingir-gal-me,,me,True,False,3
zu-un-ki-ip,zu-un-ki-ip,,ip,False,False,4
u2-pa-ti-pi,u2-pa-ti-pi,,,False,False,4
ku-ši-ha,ku-ši-ha,,,False,False,3
ni-im-ma,ni-im-ma,,,False,False,3
tu4-um-pa,tu4-um-pa,,,False,False,3
ka-ak-pa-ah,ka-ak-pa-ah,,,False,False,4
a-al,a-al,,,False,False,2
ha-al-ma-šu-um,ha-al-ma-šu-um,,,False,False,5
[…]-ak,[…]-ak,,ak,False,True,2
gi-ri-ni,gi-ri-ni,,ni,False,False,3
te-[la-ak-ni],te-[la-ak-ni],,,False,True,4
(d)hu-ban-nu-me-na-ki,(d)hu-ban-nu-me-na-ki,divine,,True,False,6
zig-ra-tu4-me,zig-ra-tu4-me,,me,False,False,4
ta-an-ra,ta-an-ra,,ra,False,False,3
(m)un-taš-dingir-gal-me,(m)un-taš-dingir-gal-me,personal-male,me,True,False,5
pi-ti-ir,pi-ti-ir,,ir,False,False,3
su-un-ki-ir,su-un-ki-ir,,ir,False,False,4
a-ha-a,a-ha-a,,,False,False,3
te-pu-uh,te-pu-uh,,,False,False,3
kuš3,kuš3,,,False,False,1
tuš,tuš,,,False,False,1
hi-še,hi-še,,,False,False,2
ku-ši-ih-ši-ma,ku-ši-ih-ši-ma,,,False,False,5
šu-šu-un,šu-šu-un,,,False,False,3
(m)hu-ban-um-me-na-ki,(m)hu-ban-um-me-na-ki,personal-male,,False,False,6
(md)hu-ban-um-me-en-na-ki,(md)hu-ban-um-me-en-na-ki,divine-personal,,True,False,7
(d)pi-ni-gir3-me,(d)pi-ni-gir3-me,divine,me,True,False,4
(d)hu-um-ban-nu-me-na-gi,(d)hu-um-ban-nu-me-na-gi,divine,,True,False,7
te-im-ma,te-im-ma,,,False,False,3
hu-ut-tah-ša,hu-ut-tah-ša,,,False,False,4
ka?-ap-na-ak,ka?-ap-na-ak,,ak,False,True,4
za-ah-ri,za-ah-ri,,,False,False,3
ha-li-ik,ha-li-ik,,ik,False,False,3
hu-ut-ta-ak,hu-ut-ta-ak,,ak,False,False,4
tu4-ur-hi-ih,tu4-ur-hi-ih,,,False,False,4
ša-at-ki-me,ša-at-ki-me,,me,False,False,4
a-pi-me,a-pi-me,,me,False,False,3
(m)un-taš-dingir-gal-ki,(m)un-taš-dingir-gal-ki,personal-male,,True,False,5
ru-tu4,ru-tu4,,,False,False,2
[(d)in]-šu-uš-na-ak,[(d)in]-šu-uš-na-ak,,ak,False,True,5
ku-u[k-ši-ih],ku-u[k-ši-ih],,,False,True,4
hu]-us-si-ip-me,hu]-us-si-ip-me,,me,False,True,5
[…u2-pa-at,[…u2-pa-at,,,False,True,3
up-ku-mi-[ia],up-ku-mi-[ia],,,False,True,4
[ku-ku]-un-nu-um,[ku-ku]-un-nu-um,,,False,True,5
in-[ti-ik-ka,in-[ti-ik-ka,,ka,False,True,4
[in]-gi,[in]-gi,,,False,True,2
[tu-ur],[tu-ur],,,False,True,2
šu-šu-un-[ka]-[…],šu-šu-un-[ka]-[…],,,False,True,5
[an-za-a]n,[an-za-a]n,,,False,True,3
[…]-ti-e?,[…]-ti-e?,,,False,True,3
-me,-me,,me,False,False,2
zig-ra-tu4,zig-ra-tu4,,,False,False,3
[…u2]-pa-at,[…u2]-pa-at,,,False,True,3
hi-iš-e,hi-iš-e,,,False,False,3
hi?-iš,hi?-iš,,,False,True,2
[a-h]a-an,[a-h]a-an,,,False,True,3
hi-[…],hi-[…],,,False,True,2
[š]u?-ut?-ta?,[š]u?-ut?-ta?,,,False,True,3
[šu-šu]-un-ka,[šu-šu]-un-ka,,ka,False,True,4
ša-tu4-uh-ni,ša-tu4-uh-ni,,ni,False,False,4
ki-ib-ra-at,ki-ib-ra-at,,,False,False,4
in-ti-ig-ga8,in-ti-ig-ga8,,,False,False,4
ki-it-ti-ma,ki-it-ti-ma,,,False,False,4
(d)in-šu-uš-na-ak4,(d)in-šu-uš-na-ak4,divine,,True,False,5
ki-ib-ra-at3,ki-ib-ra-at3,,,False,False,4
(md)hu-ban-nu-me-na-ki,(md)hu-ban-nu-me-na-ki,divine-personal,,True,False,6
(d)ru-hu-ra-te-ir-me,(d)ru-hu-ra-te-ir-me,divine,me,True,False,6
(d)hi-iš-mi-ti-ik2,(d)hi-iš-mi-ti-ik2,divine,,True,False,5
la-an-si-ti-pa,la-an-si-ti-pa,,,False,False,5
(d)nin-a-li-me,(d)nin-a-li-me,divine,me,True,False,4
(d)ša-la-me,(d)ša-la-me,divine,me,True,False,3
a-aš2-ta2,a-aš2-ta2,,,False,False,3
si-ia-an-ku-uk-pa],si-ia-an-ku-uk-pa],,,False,True,6
(d)in-šu-[uš-na-ak,(d)in-šu-[uš-na-ak,divine,ak,True,True,5
a]-ak,a]-ak,,ak,False,True,2
ku-ku-un-nu-um…,ku-ku-un-nu-um…,,,False,True,5
si-ia-an-[ku-uk-pa,si-ia-an-[ku-uk-pa,,,False,True,6
(d)in-šu-uš]-na-ak,(d)in-šu-uš]-na-ak,divine,ak,True,True,5
la-an-[si-ti-me,la-an-[si-ti-me,,me,False,True,5
ku-ku-un-nu-um],ku-ku-un-nu-um],,,False,True,5
šu-[šu-un-ka,šu-[šu-un-ka,,ka,False,True,4
(md)hu-um-ba-nu-me-na-ki],(md)hu-um-ba-nu-me-na-ki],divine-personal,,True,True,7
ša-[ak,ša-[ak,,,False,True,2
[…]-uš-ni-e,[…]-uš-ni-e,,,False,True,4
ra,ra,,,False,False,1
si-ia-an-ku]-uk-pa,si-ia-an-ku]-uk-pa,,,False,True,6
(d)in]-šu-uš-n[a-ak,(d)in]-šu-uš-n[a-ak,divine,ak,True,True,5
ku]-ku-un-[nu-um,ku]-ku-un-[nu-um,,,False,True,5
[in,[in,,,False,True,1
si-ia]-an-ku-uk-pa,si-ia]-an-ku-uk-pa,,,False,True,6
(d)in-šu-uš-[na-ak,(d)in-šu-uš-[na-ak,divine,ak,True,True,5
[dingir-gal,[dingir-gal,,,True,True,2
la-an-si-ti-me,la-an-si-ti-me,,me,False,False,5
ku-ku-un-[nu-um,ku-ku-un-[nu-um,,,False,True,5
su-un-ki]-ik,su-un-ki]-ik,,ik,False,True,4
(md)hu-um-ba-nu-me-na-[ki,(md)hu-um-ba-nu-me-na-[ki,divine-personal,,True,True,7
(d)in-šu-uš-[na-ak],(d)in-šu-uš-[na-ak],divine,,True,True,5
[tu4-ur],[tu4-ur],,,False,True,2
šu-<ut>-ki-me,šu-<ut>-ki-me,,me,False,False,4
[me]-lu-u[k-ra],[me]-lu-u[k-ra],,,False,True,4
la-an-si-ti-ra,la-an-si-ti-ra,,ra,False,False,5
(d)na-bu-me,(d)na-bu-me,divine,me,True,False,3
si-ma-aš2,si-ma-aš2,,,False,False,3
ul-lu-ru-uk,ul-lu-ru-uk,,,False,False,4
ku-te-en,ku-te-en,,,False,False,3
a-i-in,a-i-in,,,False,False,3
i-la-a-ni-me,i-la-a-ni-me,,me,False,False,5
mi-el-ki,mi-el-ki,,,False,False,3
up-qu-mi-ma,up-qu-mi-ma,,,False,False,4
ki-ik-ki-te-eh,ki-ik-ki-te-eh,,,False,False,5
up-kum-mi-ia,up-kum-mi-ia,,,False,False,4
missing,missing,,,False,False,1
šu-uh-tir,šu-uh-tir,,,False,False,3
1,1,,,False,False,1
ta-li-in,ta-li-in,,,False,False,3
šu-ul-lu-me-ka,šu-ul-lu-me-ka,,ka,False,False,5
(d)hu-ban-nu-me-en-na-ki,(d)hu-ban-nu-me-en-na-ki,divine,,True,False,7
(d)iš-ni-ka-ra-ab2,(d)iš-ni-ka-ra-ab2,divine,,True,False,5
hu-šu-a,hu-šu-a,,,False,False,3
šu-lu-me-ka,šu-lu-me-ka,,ka,False,False,4
(d)hu-ba-nu-me-en-na-ki,(d)hu-ba-nu-me-en-na-ki,divine,,True,False,7
šu-un-šu-ir-pi,šu-un-šu-ir-pi,,,False,False,5
ma-šu-um,ma-šu-um,,,False,False,3
(d)hu-ban-nu-me-na-gi,(d)hu-ban-nu-me-na-gi,divine,,True,False,6
(m)ki-,(m)ki-,personal-male,,False,False,2
x-pa-lu,x-pa-lu,,,False,False,3
ki,ki,,,False,False,1
ri,ri,,,False,False,1
a,a,,,False,False,1
mu,mu,,,False,False,1
a-pi,a-pi,,,False,False,2
ša,ša,,,False,False,1
ar,ar,,,False,False,1
ka,ka,,,False,False,1
(d)pa-tug2,(d)pa-tug2,divine,,True,False,2
hu-lu-uh,hu-lu-uh,,,False,False,3
la-an-si-ti-ih,la-an-si-ti-ih,,,False,False,5
(husa)tukul-har-sag,(husa)tukul-har-sag,,,False,False,3
tu4-ru-uš-ni-e,tu4-ru-uš-ni-e,,,False,False,5
in(?)],in(?)],,,False,True,1
[ur(?),[ur(?),,,False,True,1
li-en-ra,li-en-ra,,ra,False,False,3
li-e,li-e,,,False,False,2
lu-be-en,lu-be-en,,,False,False,3
id,id,,,False,False,1
(d)iš-ni-ka-ra-ab,(d)iš-ni-ka-ra-ab,divine,,True,False,5
mu-ši-it-ta,mu-ši-it-ta,,,False,False,4
li-gi-e,li-gi-e,,,False,False,3
[hu]-uh-tah,[hu]-uh-tah,,,False,True,3
x-x,x-x,,,False,False,2
pu-uh-x-x,pu-uh-x-x,,,False,False,4
[dingir-gal],[dingir-gal],,,True,True,2
[hu]-ut2-tak-ha-li-ik,[hu]-ut2-tak-ha-li-ik,,ik,False,True,6
[i],[i],,,False,True,1
[te-ip]-ti,[te-ip]-ti,,,False,True,3
hu-ut2-tah-ha-li-ih,hu-ut2-tah-ha-li-ih,,,False,False,6
in-ti-ik-[ka],in-ti-ik-[ka],,,False,True,4
sa-ah-[ri],sa-ah-[ri],,,False,True,3
šu-lu-me-en-[ka],šu-lu-me-en-[ka],,,False,True,5
[hi]-ih,[hi]-ih,,,False,True,2
ia,ia,,,False,False,1
su-us-ka-tah,su-us-ka-tah,,,False,False,4
ri?-im?-um,ri?-im?-um,,,False,True,3
[ki?]-zu-um,[ki?]-zu-um,,,False,True,3
(md)hu-um-ban-um-me-en-na-ki,(md)hu-um-ban-um-me-en-na-ki,divine-personal,,True,False,8
t]e-la-[ak]-li,t]e-la-[ak]-li,,,False,True,4
[la-ha-ak-ir-ra,[la-ha-ak-ir-ra,,ra,False,True,5
[si-i-an]-ku-uk,[si-i-an]-ku-uk,,,False,True,5
te-ip-ti],te-ip-ti],,,False,True,3
(d)in-šu-uš-n[a-ak,(d)in-šu-uš-n[a-ak,divine,ak,True,True,5
dingir-gal],dingir-gal],,,True,True,2
hu-ut2-tak-ha]-li-[ik,hu-ut2-tak-ha]-li-[ik,,,False,True,6
du-ni-[ih,du-ni-[ih,,,False,True,3
[la-ha-ak-ir-ra],[la-ha-ak-ir-ra],,,False,True,5
[t]e-ip-ti,[t]e-ip-ti,,,False,True,3
(d)in-šu-uš-n[a-ak],(d)in-šu-uš-n[a-ak],divine,,True,True,5
[hu]-ut2-tah,[hu]-ut2-tah,,,False,True,3
in-ti-[ig]-ga,in-ti-[ig]-ga,,ga,False,True,4
hi-[en-g]a,hi-[en-g]a,,,False,True,3
[hu]-šu-ia,[hu]-šu-ia,,,False,True,3
sah]-ri,sah]-ri,,,False,True,2
[az-ki-it,[az-ki-it,,,False,True,3
in]-ti-ig-[ga],in]-ti-ig-[ga],,,False,True,4
u2-[me,u2-[me,,,False,True,2
si-it-me],si-it-me],,,False,True,3
[hi-ih,[hi-ih,,,False,True,2
ta-[ak]-me,ta-[ak]-me,,me,False,True,3
la-[ha]-ak-[ir]-ra,la-[ha]-ak-[ir]-ra,,ra,False,True,5
si-ia-an-ku-[uk],si-ia-an-ku-[uk],,,False,True,5
te-ip-[ti],te-ip-[ti],,,False,True,3
(d)in-šu-[uš]-na-ak,(d)in-šu-[uš]-na-ak,divine,ak,True,True,5
su-us-ka-ta]h,su-us-ka-ta]h,,,False,True,4
la-am]-li-[e-ma,la-am]-li-[e-ma,,,False,True,5
[ri?-im?]-mu-u[m,[ri?-im?]-mu-u[m,,,False,True,4
si-a-an-ku-uk],si-a-an-ku-uk],,,False,True,5
ha-li-[ih,ha-li-[ih,,,False,True,3
hu]-uh-tah,hu]-uh-tah,,,False,True,3
hu-uh-[tah-ša],hu-uh-[tah-ša],,,False,True,4
[u2-r]i-pu-up,[u2-r]i-pu-up,,,False,True,4
zu-u[n-ki-ip],zu-u[n-ki-ip],,,False,True,4
[…]-a,[…]-a,,,False,True,2
te-la-ak-li,te-la-ak-li,,,False,False,4
[si]-ia-an-ku-uk,[si]-ia-an-ku-uk,,,False,True,5
[u2],[u2],,,False,True,1
hu-[ut-tah],hu-[ut-tah],,,False,True,3
[a-gi],[a-gi],,,False,True,2
in-ti-ig-ga,in-ti-ig-ga,,ga,False,False,4
sa-ah-ri,sa-ah-ri,,,False,False,3
[šu]-lu-me-en-[ga],[šu]-lu-me-en-[ga],,,False,True,5
ta-ak-[me],ta-ak-[me],,,False,True,3
zu-uz-ka-tah,zu-uz-ka-tah,,,False,False,4
[ri?]-mu-um,[ri?]-mu-um,,,False,True,3
u2-ri-[pu]-up,u2-ri-[pu]-up,,,False,True,4
ki?-iz?-zu-um,ki?-iz?-zu-um,,,False,True,4
],],,,False,True,1
(d)[…,(d)[…,divine,,True,True,1
e,e,,,False,False,1
[h]a-li-ik,[h]a-li-ik,,ik,False,True,3
(d)[…],(d)[…],divine,,True,True,1
li?-ki?-ri?-en?,li?-ki?-ri?-en?,,,False,True,4
š[u-šu-un-ka,š[u-šu-un-ka,,ka,False,True,4
su-un-ki-i[k],su-un-ki-i[k],,,False,True,4
(m)un-t[aš]-dingir-gal,(m)un-t[aš]-dingir-gal,personal-male,,True,True,4
hi-ih-ni,hi-ih-ni,,ni,False,False,3
si]-it-tim,si]-it-tim,,,False,True,3
pi-el],pi-el],,,False,True,2
si-ia-an-[ku-uk-ra,si-ia-an-[ku-uk-ra,,ra,False,True,6
hu-ut2-tak-ha-li]-ik,hu-ut2-tak-ha-li]-ik,,ik,False,True,6
[li-mi-in-ra,[li-mi-in-ra,,ra,False,True,4
u2-pa-at],u2-pa-at],,,False,True,3
[šu-šu-un-ka,[šu-šu-un-ka,,ka,False,True,4
(md)hu-um-ban-nu-me]-na-gi,(md)hu-um-ban-nu-me]-na-gi,divine-personal,,True,True,7
ta-at-ta-ah,ta-at-ta-ah,,,False,False,4
mu-ur-ta-ah,mu-ur-ta-ah,,,False,False,4
(d)be-li-li-me,(d)be-li-li-me,divine,me,True,False,4
(d)da-mu-si,(d)da-mu-si,divine,,True,False,3
h[u-ut-tak-h]a-li-ik,h[u-ut-tak-h]a-li-ik,,ik,False,True,6
hi?-[…],hi?-[…],,,False,True,2
e[l?-x-x]-at-tu4,e[l?-x-x]-at-tu4,,,False,True,5
(d)hu-ban-[um]-me-na-ki,(d)hu-ban-[um]-me-na-ki,divine,,True,True,6
(d)su-un-ki-ir-ri-ša-ar-ra,(d)su-un-ki-ir-ri-ša-ar-ra,divine,ra,True,False,8
ta-ak-ki-ip-pi,ta-ak-ki-ip-pi,,,False,False,5
pu-uk-ši,pu-uk-ši,,,False,False,3
(md)hu-um-ban-um-me-na-gi,(md)hu-um-ban-um-me-na-gi,divine-personal,,True,False,7
li-ni-en,li-ni-en,,,False,False,3
pi-ip-li-ih,pi-ip-li-ih,,,False,False,4
ap-pu-ki-i,ap-pu-ki-i,,,False,False,4
ap-pu-ki-me,ap-pu-ki-me,,me,False,False,4
mu-ur-ta-an-ra,mu-ur-ta-an-ra,,ra,False,False,5
pa-ap-pa-ra-na,pa-ap-pa-ra-na,,na,False,False,5
ha-ap-pa-ti-iš,ha-ap-pa-ti-iš,,,False,False,5
li-li-ra,li-li-ra,,ra,False,False,3
ip-il-la-ti-ma,ip-il-la-ti-ma,,,False,False,5
mu-ur-ti,mu-ur-ti,,,False,False,3
hi-ih2,hi-ih2,,,False,False,2
pa-ka-an-ra,pa-ka-an-ra,,ra,False,False,4
la-ni-e,la-ni-e,,,False,False,3
la-ni-ia,la-ni-ia,,,False,False,3
(d)hu-um-ban-me,(d)hu-um-ban-me,divine,me,True,False,4
(d)hu-um-ban-um-me-en-na-ki,(d)hu-um-ban-um-me-en-na-ki,divine,,True,False,8
ul-li-na6,ul-li-na6,,,False,False,3
su-kar-tah,su-kar-tah,,,False,False,3
ha-ap-ši,ha-ap-ši,,,False,False,3
ha-di-en,ha-di-en,,,False,False,3
in-di-ig-ga2,in-di-ig-ga2,,,False,False,4
gi-nu-ni,gi-nu-ni,,ni,False,False,3
in-di-ig-ga4,in-di-ig-ga4,,,False,False,4
hu-ban-nu-me-en-na-ki,hu-ban-nu-me-en-na-ki,,,False,False,7
il-li-na,il-li-na,,na,False,False,3
hu-šu-ut-ta,hu-šu-ut-ta,,,False,False,4
ki-nu-ni,ki-nu-ni,,ni,False,False,3
hu-ut-ta-an,hu-ut-ta-an,,,False,False,4
zu-uk-ka-an,zu-uk-ka-an,,,False,False,4
si-ti-i,si-ti-i,,,False,False,3
ka-da-an,ka-da-an,,,False,False,3
ša-ar-ra-na,ša-ar-ra-na,,na,False,False,4
hu-sa-a,hu-sa-a,,,False,False,3
li-ik-ri-in,li-ik-ri-in,,,False,False,4
hu-ma-ka-ak,hu-ma-ka-ak,,ak,False,False,4
uk-ku-ma,uk-ku-ma,,,False,False,3
zu-lu-ka-ak,zu-lu-ka-ak,,ak,False,False,4
zu-uk-ma,zu-uk-ma,,,False,False,3
il-ki-ka,il-ki-ka,,ka,False,False,3
ha-ap-ti-iš,ha-ap-ti-iš,,,False,False,4
hi-i-še,hi-i-še,,,False,False,3
ša-qu-tu4,ša-qu-tu4,,,False,False,3
a-bu-ul-lu,a-bu-ul-lu,,,False,False,4
hi-el,hi-el,,,False,False,2
lu-bu-ru-uh,lu-bu-ru-uh,,,False,False,4
ha-al-li,ha-al-li,,,False,False,3
(d)in-šu-ši-na-ak-me,(d)in-šu-ši-na-ak-me,divine,me,True,False,6
šu-du-ur,šu-du-ur,,,False,False,3
pi-du-um-ma,pi-du-um-ma,,,False,False,4
ki-du-um-ma,ki-du-um-ma,,,False,False,4
la-an-si-di-ia,la-an-si-di-ia,,,False,False,5
ik-el,ik-el,,,False,False,2
ši-in-ni,ši-in-ni,,ni,False,False,3
lu-mu-un-ra,lu-mu-un-ra,,ra,False,False,4
ha-al-te-te,ha-al-te-te,,,False,False,4
du-ha-an-ra,du-ha-an-ra,,ra,False,False,4
