word,similar_1,score_1,similar_2,score_2,similar_3,score_3,similar_4,score_4,similar_5,score_5
a-ni,dingir-gal,0.3531,si-ia-an-ku-uk,0.3141,šu-šu-un-ka,0.303,ta-ak-me,0.2936,u2-pa-at,0.2796
uk-ku-ri,si-ia-an-ku-uk-ra,0.3242,(d)in-šu-ši-na-ak,0.2703,(d)[hu]-um-ban-nu-me-na-gi,0.2693,tu4-ni-ih,0.2647,hu-uh-tah-ša,0.2554
ha-li-ih,(d)in-šu-uš-n[a-ak,0.2896,ka-ak-pa-ah,0.271,(d)zu-un-ki-ir-ri-ša-ar-ra-me,0.2707,zu-un-ki-me,0.2654,su-un-ki-me,0.2616
hu-pi-e,pi-li-in,0.3174,(d)im,0.2923,[ri?]-mu-um,0.2904,lu-mu-un-ra,0.2809,si-ia-an-[ku-uk-ra,0.279
(d)hu-ban-um-me-en-na-ki,ku-tu4-un,0.3376,dur-na-ah-u2-te-{na}?,0.2985,du-ni-ih,0.2973,ki-nu-ni,0.2849,ul-li-na,0.2733
(d)ši-mut,si-ia-an-ku-uk-ra,0.4383,un,0.3205,si-it-me,0.2997,a-bu-ul,0.2802,u2-me,0.2773
ku-ši-ih-ma,ku-ši-ha,0.2909,si-ia-an-ku-uk-pa-me,0.2851,a-gi,0.2782,si-ia-an-ku-uk-ra,0.2676,me-el-ka-an-ra,0.2614
ul-hi,ku-ši-ih,0.3501,u2-me,0.3382,hu-ut-tah-ša,0.3307,sah-ri,0.3288,tu4-ur,0.3225
(d)pi-ni-gir3,(d)ma-an-za-at,0.2754,(md)hu-ban-nu-me-na-ki,0.2611,[…]-a,0.242,lu-pi-en,0.2381,tu4-ru-un-ka,0.2368
gi-ri-na,šu-šu-un-ka,0.4356,ku-ši-ih,0.3588,si-ia-an-i-me,0.3477,šu-šu-un,0.3088,in,0.293
(d)na-ah-hu-un-te,[…],0.4236,an-za-an,0.3895,(d)in-šu-uš-na-ak,0.3419,ku-ši-ih,0.3184,a-ak,0.3137
du-ni-iš-ni,[an-za-a]n,0.256,en,0.2505,tu4-ur],0.2483,la-an-[si-ti-me,0.2334,u3,0.2303
la-an-si-ti-ir-ra,hu-ut-tak-ha-li-ik,0.4035,(d)ši-ia-šu-um,0.32,ki-it-ti-im-ma,0.3018,si-a-an-ku-uk-ra,0.3016,(m)un-taš-dingir-gal-me,0.2874
si-ia-an-i-me,šu-šu-un-ka,0.4485,ku-ši-ih,0.3768,gi-ri-na,0.3477,in,0.3229,hi-en-ka,0.3208
ur,ki-it-ti-im-ma,0.3195,zu-lu-ka-ak,0.3114,si-ia-an-ku-uk-ra,0.2963,u2-pa-ti-pi,0.2818,ak-ka,0.2638
ku-la-a,la-ni-e,0.3792,an-za-an,0.3301,hu-uh-tah-ša,0.3229,sah-ri,0.3089,hu-ut-tak-ha-li-ik,0.279
(d)u2-pur-ku-pa-ak,(d)in-šu-uš-n[a-ak,0.3,i,0.2857,ku-du-ma,0.2762,si-ia-an-ku-uk,0.2724,an-za-an],0.2699
(md)hu-ban-nu-me-na-gi,si-ia-an,0.3691,ku-ši-ih,0.3683,si-ia-an-ku-uk-ra,0.3561,hu-šu-ia,0.3324,in,0.3311
ku-tu4-un,ma-šu-um,0.3682,(d)hu-ban-um-me-en-na-ki,0.3376,ša-at-ki-me,0.3323,dur-na-ah-u2-te-{na}?,0.3155,[tu4-ur],0.237
pa-ar,dingir-gal,0.306,hu-us-si-ip-me,0.2997,(d)in-šu-uš-na-ak,0.2948,zu-[un-ki-me,0.2833,a-gi,0.2712
ša-ra-ra,ip-il-la-ti,0.3649,te-la-ak-ni,0.3357,i,0.3246,[a-ak,0.3214,li-li-ra,0.3076
ta-ak-ni,si-ia-an,0.3926,u2-pa-at,0.379,[…],0.337,si-ia-an-ku-uk,0.3166,šu-šu-un-ka,0.3124
hi-iš,la-am]-li-[e-ma,0.2738,si-ia-an-[ku-uk-pa,0.2732,u2,0.2562,sah]-ri,0.2476,(d)ru-hu-ra-te-ir-me,0.2395
si-a-an-ku-uk,[az-ki-it,0.2798,(m)ki-,0.2533,hu-ut-ta-ak,0.2482,[an-za-a]n,0.2465,(d)in-šu-uš-n[a-ak,0.2412
hu-uh-tah,si-a-ku-uk,0.3177,ap-pa,0.3038,[ip-il-la-ti],0.2915,me-lu-uk-ra,0.2748,in-gi,0.2611
um-me,si-a-an-ku-uk-ra,0.3137,(d)ha-te-ri-iš-nu-me,0.2934,pu-uk-ši,0.2894,(d)nin-e2-gal,0.2833,su-ku-ša-ak,0.2805
mu-ši-a,a-gi,0.3309,hi-ih,0.3097,(d)na-ah-hu-un-te-ir,0.2907,tu4-um-pa,0.2816,ra,0.2705
hu-ut-ta-ak-ha-li-ik,mu-ur-tah,0.2743,(d)be-la-la,0.2698,ki,0.2616,[hu]-ut2-tak-ha-li-ik,0.2558,lu-pi-en,0.2433
te-la-ak,ul-li-na6,0.2783,ša-ri-ik,0.2779,(d)in-šu-uš-[na-ak],0.2424,an-za-an],0.2189,t]e-la-[ak]-li,0.2138
a-bu-ul,a-ak,0.4105,(d)in-šu-uš-na-ak,0.3637,hi-ih,0.3478,hu-us-si-ip-me,0.3458,si-it-me,0.3446
ha-al,pi-du-um-ma,0.3499,ša-ri-ih,0.2878,u2,0.257,[šu-šu-un-ka,0.2558,hu-us-si-ip-me,0.2449
li-na-pu-un,(husa)tukul-har-sag,0.2883,ka-da-an,0.2492,(m)ki-,0.2416,in-tu4-um,0.2348,(d)hu-ban-nu-me-na-ki,0.2226
hu-hu-un,(d)in-šu-[uš]-na-ak,0.3819,a-gi,0.3301,u2-pa-at,0.3174,ha-at-ta-an-ra,0.2914,hi-en-ka,0.2827
un-taš-dingir-gal,zu-[un-ki-me,0.2908,ta-ak-ni,0.2778,si-ia-an-ku-uk-pa,0.2737,ul-li-na6,0.2712,(d)in-šu-[uš]-na-ak,0.271
(d)ki-la-ah-šu-pi-ir,u2,0.3817,mu-ur-ta-ah,0.3111,dingir-gal,0.3057,hu]-us-si-ip-me,0.2686,[dingir-gal,0.2651
ku-ši-ih-ša,(husa)tukul-har-sag,0.3039,(d)hu-ban-um-me-na-ki,0.2867,hi-iš-e,0.2717,ak-ka,0.2593,(d)in]-šu-uš-n[a-ak,0.2583
pi-it-te-ka,si-ia-an-ku-uk,0.3057,{uk-ku}-me,0.3017,ša-at-ki-me,0.2684,šu-ut-ku-me,0.2634,mu-ur-ti,0.2554
(d)ru-hu-ra-te-ir,a-pu,0.3195,ni,0.2736,li-na,0.2615,si-a-ku-uk,0.2611,si-ia-an-ku-uk,0.2549
(d)hi-iš-mi-ti-ik,hu-ul-pa-ah,0.3049,(d)in-šu-uš-na-ak4,0.3013,(d)ša-la-me,0.2899,(d)in-šu-uš-na-ak-ri,0.2799,hu-ut-tak-ha-li-ku,0.275
(d)na-ap-ra-te-ip,[a]-gi,0.2954,hu-šu-ia,0.2559,[an-za-a]n,0.2537,[dingir-gal,0.2475,[dingir-gal],0.2395
(d)nin-a-li,i-me-ni,0.292,[…],0.2806,ia,0.2659,du-ha-an-ra,0.2536,hu-šu-ia,0.252
(d)ša-la,tu4-ru-uš-ni-e,0.294,[…]-ar-na,0.2858,(d)hi-iš-mi-ti-ik2,0.2727,(d)na-zi-it,0.2682,hu-ut-tak-ha-li-ik,0.2658
(d)na-ah-hu-un-te-ir,su-un-ki-ik,0.3343,hu-ut-ta-an-ra,0.3082,mi-el-ki,0.3037,mu-ši-a,0.2907,(d)pi-el-ti-ya,0.2879
si-ia-an-ku-uk-pa-ri,(d)in-šu-uš-n[a-ak,0.2848,ki-iš-tu4-um-ma,0.2792,tu4-[ur],0.2293,ni-im-ma,0.2171,zu-un-ki-ik,0.214
ha-at,su-un-ki-ip,0.3282,(d)in-šu-[uš]-na-ak,0.2974,[pi-el],0.2932,(d)be-la-la,0.2911,su-kar-tah,0.2823
hi-ih-li,ir,0.338,ip,0.2914,hu-ut2-tah-ha-li-ih,0.2876,hu-ban-nu-me-en-na-ki,0.2712,hu-ut2-tak-[ha-li-ik,0.2709
a-pu,en,0.3902,(d)ru-hu-ra-te-ir,0.3195,ul-li-na6,0.307,si-it-me,0.2861,li-na,0.2762
(d)be-la-la,ha-at,0.2911,(d)da-mu-si,0.2868,li-na,0.2755,hu-ut-ta-ak-ha-li-ik,0.2698,(d)in-šu-[uš]-na-ak,0.2437
ta-ah,šu-du-ur,0.2805,hi-en-ka,0.279,(d)in-šu-ši-na-ak,0.2786,ap-pa,0.2594,hu-ul-pa-ah,0.2525
(md)hu-um-ban-nu-me-en-na-ki,(d)ki-{ri-ri}-ša,0.2935,ma-šu-um,0.2844,u2-[me,0.283,(d)in-šu-uš-na-ak4,0.2721,su-kar-tah,0.2605
(d)u2-pur-ku-ba-ak,in-ti-ik-ka,0.3723,hu-ut-tah-ša,0.3121,hu-lu-uh,0.3082,sah]-ri,0.2986,(md)hu-um-ba-nu-me-na-ki],0.2957
me-el-ka-an-ra,hi-ih2,0.3151,si-ia-an-ku-uk-ra,0.304,na,0.2907,zu-un-ki-me,0.2746,ku-ši-ih,0.2735
nu-ur,si]-it-tim,0.2597,(d)[hu]-um-ban-nu-me-na-gi,0.2549,hu-si-ip-me,0.2538,ki-nu-ni,0.2388,ta-ak-me,0.2355
a-ak],ku-uk-ši-ih,0.3319,(d)hu-ban-nu-me-na-ki,0.2546,tu4-ur-hi-ih,0.2491,zi-it-im-ma,0.2353,ha-ni-ih-ši,0.231
[…]-ti-ia,zu-u[n-ki-ip],0.2802,tu4-ni-ih,0.2611,su-un-ki-ik,0.2548,me-it-ki-ni,0.252,hu-ut-ta-an-ra,0.2493
(d)na-bu-u2,hu-ut-tah,0.2768,lu-mu-un-ra,0.2623,la-ni-e,0.2619,[…],0.2332,tu4-ru-uš-ni-e,0.2271
na,10,0.3768,li-mi-in-ra,0.3156,ha-al-ma-šu-um,0.2931,me-el-ka-an-ra,0.2907,zi-it-im-ma,0.2896
ni,in,0.3684,a-ak,0.3673,ku-ši-ih,0.3662,u2-me,0.3443,šu-šu-un-ka,0.3408
(d)na-ap-ra-te-ip-me,si-ia]-an-ku-uk-pa,0.3355,la-an-si-ti-ih,0.3046,dingir-gal,0.2763,li-ki-ir,0.276,{ku-ši-ih},0.2708
si-a-ku-uk,šu-šu-un-[ka]-[…],0.3271,hu-uh-tah,0.3177,sa-ah-ri,0.302,a-gi,0.3013,ki-du-um-ma,0.2786
la-am-li-e-ma,u2-pa-at,0.3343,[…],0.3053,a-gi,0.3016,u2,0.2904,ar,0.2872
hu-uh-tah-ša,ku-la-a,0.3229,si-ia-an,0.3215,hi-en-ga,0.3063,si-ia-an-ku-uk,0.2939,u2-me,0.2904
[a-ak,[me]-lu-u[k-ra],0.3801,tu4-uš,0.3348,ša-ra-ra,0.3214,mu-ši-it-ta,0.2956,a]-ak,0.279
[u2,nu-ul-ki-ip-pi,0.339,tu4-um-pa-an-ra,0.2897,ša-at-me,0.2888,up-qu-mi-ma,0.2882,hi-ih-ni],0.2855
(d)ši-ia-šu-um,la-an-si-ti-ir-ra,0.32,e,0.3078,a-ha-ar,0.287,u2-pa-at,0.281,si-a-an-ku-uk-ra,0.2701
(d)ma-an-za-at,li-ik-ri-in,0.2942,u2,0.2935,[…],0.2763,(d)pi-ni-gir3,0.2754,ul-li-na,0.2705
tu4-[ur],ha-di-en,0.2991,ar,0.2709,hi-še,0.2695,hu-us-si-ip-me,0.2635,lu-ub-bu-ru-uh-ni,0.2546
(d)nin-e2-gal,u2-me,0.3498,hu-us-si-ip-me,0.3216,hi-ih,0.3215,in,0.3142,ir,0.2978
pi-ip-ši-ia,[hu]-uh-tah,0.2595,ku-ku-un-[nu-um,0.2303,šu-du-ur,0.23,[hu-us-si]-ip-me,0.2208,[hi-ih,0.2155
be-el-ti,a-lu-me-lu,0.2475,[a-gi],0.2392,i-me-ni,0.2255,pi-it-te-ga,0.2185,si-it-me],0.2119
(d)in-na-na,in-[ti-ik-ka,0.3756,ku-ši-ih,0.3589,la-ha-ak-ir-ra,0.3564,hu-ut-ta-ak,0.3065,en,0.2822
(d)na-bi-um,si-ia-an-ku-uk-pa,0.342,la-an-si-ti-ip-pa,0.3077,u2-ri-pu-pi,0.2728,hi-ih-li,0.2615,(d)hu-um-ban,0.2607
(m)hu-ban-nu-me-na-ki,ik-el,0.2643,ki-du-um-ma,0.2595,{ku}?-nu-um,0.255,ku-[ši-ih,0.2538,si-[ia-an-ku]-uk-[ra,0.243
(d)hu-um-ban,i-la-a-ni-me,0.2723,hu-ut-tah,0.2622,(d)na-bi-um,0.2607,la-ni-e,0.2572,uk-ku-pi,0.2568
(d)ru-hu-ra-tir,(d)na-bu-me,0.2987,si-ia-an-ku-uk,0.2799,hi-i-še-e,0.2578,te-ip-[ti],0.2508,x-x,0.2501
(d)hi-iš-mi-di-ik,si-a-an-ku-uk-ra,0.2921,hi-iš-e,0.279,mu-ur-ti,0.2668,šu-du-ur,0.252,a-bu-ul,0.2501
lu-pi-en,(md)hu-ban-nu-um-me-en-na-ki,0.2895,ka-ak-pa-ah,0.2803,hu-ut2-tak-ha]-li-[ik,0.2754,hi-[en-g]a,0.2658,ni,0.2551
dingir-gal-me,u2-[me,0.2769,[hu-us-si]-ip-me,0.2768,(d)hu-um-ban-me,0.2665,an-za-an],0.263,si-ia-an-ku-{uk}-[pa],0.256
zu-un-ki-ip,zu-lu-ka-ak,0.2943,up-kum-mi-ia,0.276,u2-ri-pu-pi,0.2595,(d)ša-la-me,0.2528,me-lu-uk-ra,0.2487
u2-pa-ti-pi,[ip-il-la-ti],0.3301,in-ti-ik-[ka],0.3238,dur-na-ah-u2-te-{na}?,0.3205,ur,0.2818,[ku-ku]-un-nu-um,0.2735
ku-ši-ha,si-ia]-an-ku-uk-pa,0.3401,(d){na-bu}-u2,0.3065,ku-ši-ih-ma,0.2909,dingir-gal,0.2886,ap-pu-ki-me,0.2824
ni-im-ma,su-un-ki-me,0.3783,hu-šu-ia,0.3325,(d)in-šu-ši-na-ak,0.3002,(m)hu-ban-um-me-na-ki,0.3001,i,0.2777
tu4-um-pa,a-gi,0.3132,te-la-ak-li,0.3055,mu-ši-a,0.2816,šu-ul-lu-me-en-ga,0.2802,(d)in-šu-uš-n[a-ak],0.2766
ka-ak-pa-ah,(d)ki-{ri-ri}-ša,0.4093,[…],0.3052,lu-pi-en,0.2803,du-ni-ih,0.2771,ha-li-ih,0.271
a-al,a-ha-an,0.3221,ku-ku-un-nu-um],0.2885,zu-lu-ka-ak,0.2755,in-tu4-um,0.2537,(d)in-šu-[uš]-na-ak,0.2431
ha-al-ma-šu-um,na,0.2931,hu-ut-ta-ak-[ha-li-ik],0.2498,10,0.2407,si-it-tan-me,0.2393,pa-ar,0.2343
[…]-ak,t]e-la-[ak]-li,0.3942,ki?-iz?-zu-um,0.264,ku-du-ni,0.2398,hu]-us-si-ip-me,0.2376,ia,0.2262
gi-ri-ni,su-us-ka-tah,0.2873,me-lu-uk-ma,0.2694,la-an-si-di-ia,0.2684,si-a-an-ku-uk-ra,0.2664,du-uh?,0.2626
te-[la-ak-ni],du-uh,0.2652,ku-du-ma,0.2639,(md)hu-um-ban-nu-me-na-gi,0.2632,(md)hu-ban-nu-um-me-en-na-ki,0.2548,(d)nin-a-li-me,0.2435
(d)hu-ban-nu-me-na-ki,ru-tu4,0.2774,si-ia-an-ku-uk-pa-me,0.2691,(d)hi-iš-mi-ti-ik,0.269,a-ak],0.2546,[la-ha-ak-ir-ra,0.2542
zig-ra-tu4-me,pi-du-um-ma,0.3094,ir,0.2927,hi-ih-li,0.2566,u2-pa-at,0.2566,tu4-ni-ih,0.2559
